,,前の日,次の日,増減,,,,,,,,,,,
1996/2/11,パー,20934.82,20784.23,?150.6,,,,,,,,,,,
1996/2/18,パー,20802.77,20721.25,?81.5,,,,,,,,,,,
1996/2/25,グー,20300.38,20480.27,＋179.9,,,,,,,,,,,
1996/3/3,チョキ,20168.63,20063.88,?104.8,,,,,,,,,,,
1996/3/10,チョキ,20155.87,19796.29,?359.6,,,,,,,,,,,
1996/3/17,グー,20190.85,20285.13,＋94.3,,,,,,,,,,,
1996/3/24,パー,20700.92,20915.44,＋214.5,,,,,,,,,,,
1996/3/31,グー,21406.85,21560.39,＋153.5,,,,,,,,,,,
1996/4/7,チョキ,21695.84,21424.24,?271.6,,,,,,,,,,,
1996/4/14,パー,21660.47,21883.04,＋222.6,,,,,,,,,,,
1996/4/21,パー,21883.84,22123.89,＋240.0,,,,,,,,,,,
1996/4/28,チョキ,22235.03,22041.3,?193.7,,,,,,,,,,,
1996/5/5,グー,21662.38,21495.2,?167.2,,,,,,,,,,,
1996/5/12,グー,21420.12,21171.82,?248.3,,,,,,,,,,,
1996/5/19,チョキ,21916.6,21979,＋62.4,,,,,,,,,,,
1996/5/26,パー,21798.43,21699.76,?98.7,,,,,,,,,,,
1996/6/2,チョキ,21956.19,21588.52,?367.7,,,,,,,,,,,
1996/6/9,パー,21751.81,21719.15,?32.7,,,,,,,,,,,
1996/6/16,グー,22289.39,22245.38,?44.0,,,,,,,,,,,
1996/6/23,チョキ,22530.65,22603.2,＋72.5,,,,,,,,,,,
1996/6/30,グー,22530.75,22455.49,?75.3,,,,,,,,,,,
1996/7/7,チョキ,22232.42,21924.94,?307.5,,,,,,,,,,,
1996/7/14,チョキ,21656.45,21753.42,＋97.0,,,,,,,,,,,
1996/7/21,パー,21476.29,21005.63,?470.7,,,,,,,,,,,
1996/7/28,グー,21124.9,20967.54,?157.4,,,,,,,,,,,
1996/8/4,パー,20940.41,21077.47,＋137.1,,,,,,,,,,,
1996/8/11,パー,20551.05,20666.6,＋115.5,,,,,,,,,,,
1996/8/18,チョキ,20834,21106.41,＋272.4,,,,,,,,,,,
1996/8/25,チョキ,21228.8,20883.74,?345.1,,,,,,,,,,,
1996/9/1,グー,20166.9,20107.11,?59.8,,,,,,,,,,,
1996/9/8,パー,20152.53,20202.27,＋49.7,,,,,,,,,,,
1996/9/15,グー,20842.64,21310.59,＋468.0,,,,,,,,,,,
1996/9/22,グー,21112.24,21171.99,＋59.8,,,,,,,,,,,
1996/9/29,チョキ,21547.02,21556.4,＋9.4,,,,,,,,,,,
1996/10/13,パー,20968.16,21029.25,＋61.1,,,,,,,,,,,
1996/10/27,チョキ,20739.97,20885.41,＋145.4,,,,,,,,,,,
1996/11/3,グー,20633.06,20592.33,?40.7,,,,,,,,,,,
1996/11/10,グー,21201.04,21065.08,?136.0,,,,,,,,,,,
1996/11/17,パー,20929.73,20796.37,?133.4,,,,,,,,,,,
1996/11/24,チョキ,21216.11,21293.57,＋77.5,,,,,,,,,,,
1996/12/1,パー,21020.36,20674.69,?345.7,,,,,,,,,,,
1996/12/8,パー,20276.7,20603.71,＋327.0,,,,,,,,,,,
1996/12/15,グー,20341.39,20422.04,＋80.7,,,,,,,,,,,
1996/12/22,グー,19690.46,19161.71,?528.8,,,,,,,,,,,
1996/12/29,チョキ,19369.04,19361.35,?7.7,,,,,,,,,,,
1997/1/5,チョキ,19361.35,19446,＋84.7,,,,,,,,,,,
1997/1/12,グー,17303.65,18118.79,＋815.1,,,,,,,,,,,
1997/1/19,パー,18090.04,17480.34,?609.7,,,,,,,,,,,
1997/1/26,チョキ,17689.36,17334.9,?354.5,,,,,,,,,,,
1997/2/2,パー,18330.01,18085.95,?244.1,,,,,,,,,,,
